annotation,headPosition,headRotation,gazeOrigin,gazeHitPosition,rightHandPosition,leftHandPosition,rightHandEndPoint,leftHandEndPoint,HitByHandPointer,HitByGazePointer,buttonClicked,timestamps,gazeDirection,hand2GazePointersDistance,headLinearVelocity,headAngularVelocity,rightHandVelocity,leftHandVelocity,gazeHitPositionVelocity,handsEndPointVelocity,gazeDirectionVelocity,headPositionNorm,gazeOriginNorm,gazeHitPositionNorm,rightHandPositionNorm,leftHandPositionNorm,rightHandEndPointNorm,leftHandEndPointNorm,gazeDirectionNorm,headLinearVelocityNorm,headAngularVelocityNorm,rightHandVelocityNorm,leftHandVelocityNorm,gazeHitPositionVelocityNorm,handsEndPointVelocityNorm,gazeDirectionVelocityNorm
other,[1.02694559 0.03259741 1.62299848],"quaternion(0.926129817962646, 0.28439137339592, -0.240163832902908, 0.0610450580716133)",[1.01970971 0.02586995 1.63055289],[ 0.85058665 -0.34821272  2.09794474],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,None,None,114.5684,[-0.16912305 -0.37408267  0.46739185],0.0,[-0.0005229   0.0005863  -0.00109588],[ 0.00184273  0.00121091 -0.00382078],[0. 0. 0.],[0. 0. 0.],[-0.00072284 -0.00108399 -0.00052505],[0. 0. 0.],[ 0.00083903 -0.00054633 -0.00013367],1.9208862254173193,1.923325209002016,2.290441413531762,0.0,0.0,0.0,0.0,0.6220896947114951,0.0013483814948430121,0.0044113903947428255,0.0,0.0,0.0014047081861630747,0.0,0.001010112176538554
other,[1.02677131 0.03279282 1.62263322],"quaternion(0.926317751407623, 0.283762097358704, -0.240268766880035, 0.0607083067297935)",[1.01968479 0.02588443 1.63019788],[ 0.85034573 -0.34857401  2.09776974],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,114.9017,[-0.16933906 -0.37445844  0.46757185],0.0,[-0.01456809 -0.00712148 -0.0172347 ],[-0.0271757  -0.03627285 -0.01653478],[0. 0. 0.],[0. 0. 0.],[-0.006787   -0.00628062 -0.00673507],[0. 0. 0.],[ 0.00920077 -0.00749174 -0.0026676 ],1.9204877632115667,1.923011236139998,2.2902466187196016,0.0,0.0,0.0,0.0,0.62250966236416,0.023663884914843305,0.04824559731030145,0.0,0.0,0.011439870915718759,0.0,0.012161268305948922
other,[1.02337694 0.03113352 1.61861753],"quaternion(0.924655795097351, 0.285348296165466, -0.243559613823891, 0.0653205439448357)",[1.01939535 0.02585348 1.6290617 ],[ 0.84876436 -0.3500374   2.09620047],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,115.1347,[-0.17063099 -0.37589088  0.46713877],0.0,[-5.49507650e-03 -9.64036885e-06  2.60521858e-03],[0.00017213 0.00296671 0.01030998],[0. 0. 0.],[0. 0. 0.],[-0.00538668 -0.00517333 -0.00395845],[0. 0. 0.],[ 0.00699854 -0.00480851 -0.0013129 ],1.9152525640550824,1.9218941968356549,2.288445654063489,0.0,0.0,0.0,0.0,0.6233999635806942,0.006081375051071281,0.010729711104791961,0.0,0.0,0.008452751854476444,0.0,0.008592146348825425
other,[1.0221411  0.03113135 1.61920345],"quaternion(0.925170421600342, 0.285015493631363, -0.242101073265076, 0.0649064034223557)",[1.01898408 0.02577955 1.62844646],[ 0.8475529  -0.35120088  2.09531021],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,115.3596,[-0.17143118 -0.37698043  0.46686375],0.0,[-0.00404564 -0.00761826 -0.00647891],[-0.00364192  0.00644338  0.04002616],[0. 0. 0.],[0. 0. 0.],[-0.00561149 -0.00612934 -0.00411015],[0. 0. 0.],[ 0.00761257 -0.00394878 -0.00039322],1.9150878293463256,1.9211535626756893,2.2873593615726313,0.0,0.0,0.0,0.0,0.6240710332926436,0.0107880133536383,0.0407047207659172,0.0,0.0,0.009270973749348656,0.0,0.008584799988785566
other,[1.02110946 0.02918869 1.61755133],"quaternion(0.925747275352478, 0.28651025891304, -0.238231107592583, 0.0644194260239601)",[1.01828504 0.02559789 1.6276958 ],[ 0.84612197 -0.35276386  2.09426212],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,115.6146,[-0.17216307 -0.37836176  0.46656632],0.0,[-0.00869901 -0.02445745 -0.0314225 ],[0.00577693 0.00991074 0.01095781],[0. 0. 0.],[0. 0. 0.],[-0.00821652 -0.0096891  -0.00533677],[0. 0. 0.],[ 0.00847549 -0.0049767  -0.00090839],1.9131097217630857,1.9201440780828527,2.286109919705098,0.0,0.0,0.0,0.0,0.6248854900795892,0.04075798130636053,0.01586408247369417,0.0,0.0,0.013779369024047318,0.0,0.009870496340025566
other,[1.01936531 0.02428498 1.61125112],"quaternion(0.924039959907532, 0.290313988924026, -0.240285336971283, 0.0642720460891724)",[1.01746809 0.02506655 1.62664223],[ 0.84447455 -0.35470653  2.0931921 ],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,115.8151,[-0.17299354 -0.37977307  0.46654987],0.0,[-0.00039871 -0.01807671 -0.032736  ],[-0.03704971 -0.05618985 -0.04271762],[0. 0. 0.],[0. 0. 0.],[-0.00768586 -0.00613515 -0.00633388],[0. 0. 0.],[ 0.00119477 -0.0056991  -0.00419607],1.9067840870949722,1.9188107231008666,2.2848210349182363,0.0,0.0,0.0,0.0,0.6259577763589804,0.037397491962736173,0.07971684635923111,0.0,0.0,0.011697462188306125,0.0,0.007177340860526598
other,[1.01927137 0.0200261  1.60353851],"quaternion(0.927046477794647, 0.281476527452469, -0.237939670681953, 0.0688514858484268)",[1.01682711 0.02394788 1.62503922],[ 0.84266376 -0.35615197  2.09169984],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,116.0507,[-0.17416334 -0.38009985  0.46666062],0.0,[ 0.02315674  0.0062843  -0.03787516],[0.01008493 0.01197074 0.00014005],[0. 0. 0.],[0. 0. 0.],[-0.00256157 -0.00765889 -0.00179374],[0. 0. 0.],[-0.00610166  0.00060395 -0.00178529],1.900171292645641,1.9170976322697473,2.283010000023448,0.0,0.0,0.0,0.0,0.6265627661036949,0.04483586465262069,0.015653244188554245,0.0,0.0,0.008272712958448168,0.0,0.006386099438613984
other,[1.02469468 0.02149788 1.59466815],"quaternion(0.926951825618744, 0.281851381063461, -0.238240152597427, 0.0675420612096786)",[1.01686287 0.0225961  1.62259603],[ 0.84206384 -0.35794568  2.09127975],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,116.2849,[-0.17479903 -0.38054178  0.46868372],0.0,[-0.00121896  0.00485933  0.00356334],[ 0.00923691 -0.00592022 -0.05942768],[0. 0. 0.],[0. 0. 0.],[-0.00358523 -0.00325711 -0.00263594],[0. 0. 0.],[-0.01070536 -0.00153816 -0.00524153],1.8956338932192354,1.91502964480893,2.282684297107773,0.0,0.0,0.0,0.0,0.6285150557236474,0.006147878527574968,0.06043193080021235,0.0,0.0,0.005514602695566073,0.0,0.012018504466386538
other,[1.02440262 0.02266218 1.59552193],"quaternion(0.926923990249634, 0.27838471531868, -0.24242202937603, 0.0674198344349861)",[1.01722264 0.02162168 1.61953211],[ 0.84120482 -0.35872608  2.09064817],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,116.5245,[-0.17601782 -0.38034777  0.47111607],0.0,[-0.01831184 -0.00279389  0.02190797],[-0.02160505 -0.00831091  0.0593263 ],[0. 0. 0.],[0. 0. 0.],[-0.00205221 -0.00587976 -0.00132269],[0. 0. 0.],[-0.00619244  0.0011964  -0.00134772],1.8962079311674156,1.9126143500936523,2.281911423525544,0.0,0.0,0.0,0.0,0.6305529668177674,0.02868952159904648,0.0636824882773301,0.0,0.0,0.006366520752918624,0.0,0.006449347252859627
other,[1.02022386 0.02202461 1.60052133],"quaternion(0.926257729530334, 0.282741010189056, -0.239337950944901, 0.0694383233785629)",[1.0173285  0.0208236  1.61707473],[ 0.84073651 -0.36006784  2.09034634],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,116.7527,[-0.17659199 -0.38089144  0.47327161],0.0,[-0.01004267  0.01510578  0.00327512],[ 0.02399945  0.01887364 -0.03266856],[0. 0. 0.],[0. 0. 0.],[-0.00654225 -0.0001992  -0.00362191],[0. 0. 0.],[-0.00765713 -0.00325459 -0.00547641],1.8981597180264693,1.910581476053486,2.281673625877078,0.0,0.0,0.0,0.0,0.6326523831152122,0.018432752066839378,0.04471490749973893,0.0,0.0,0.007480572278649294,0.0,0.009960673079321572
