headPosition,headRotation,gazeDirection,rightHandPosition,leftHandPosition,rightHandEndPoint,leftHandEndPoint,targetPosition,hitByHandPointer,hitByGazePointer,buttonClicked,stepChange,timestamp,headLinearVelocity,headAngularVelocity,rightHandVelocity,leftHandVelocity,gazeDirectionVelocity,headPositionNorm,headRotationNorm,gazeDirectionNorm,rightHandPositionNorm,leftHandPositionNorm,rightHandEndPointNorm,leftHandEndPointNorm,targetPositionNorm,headLinearVelocityNorm,headAngularVelocityNorm,rightHandVelocityNorm,leftHandVelocityNorm,gazeDirectionVelocityNorm
[2.02086663 0.42270881 5.05470085],[  8.65322304 -10.45911121  -1.86004305],[-0.66492462  0.00931895  0.7468524 ],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,None,None,0,2778.35327148438,[-0.00298589 -0.00265653  0.00037588],[ 0.01080765 -0.00644671 -0.0034151 ],[0. 0. 0.],[0. 0. 0.],[ 0.0725427  -0.00647088  0.06305761],5.46009023563466,13.701497599326245,1.0000000497514718,0.0,0.0,0.0,0.0,0.0,0.004014216760572348,0.013039488248050709,0.0,0.0,0.09633575525156617
[2.02009392 0.42202133 5.05479813],[  8.8134737  -10.5546999   -1.91068053],[-0.64615136  0.00764436  0.76317102],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,None,None,0,2778.61206054688,[ 0.00100957  0.0094835  -0.02678376],[-0.1387288   0.49759981  0.03249722],[0. 0. 0.],[0. 0. 0.],[2.98465647 0.05183922 1.12873125],5.459841164011687,13.88271258492503,1.0000000113317968,0.0,0.0,0.0,0.0,0.0,0.028431073173485037,0.5175976399065811,0.0,0.0,3.1913783527177464
[2.0203054  0.42400786 5.04918766],[ 7.14846468 -4.5825572  -1.52065217],[-0.02094745  0.01850326  0.99960935],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,1,2778.82153320313,[ 0.0020746  -0.00368518 -0.0086128 ],[ 0.03081892  0.03973276 -0.02012193],[0. 0. 0.],[0. 0. 0.],[-0.06540561 -0.03310394 -0.00129603],5.4548797040254415,8.626283140398604,1.000000010469665,0.0,0.0,0.0,0.0,0.0,0.009595048247173575,0.054160783296509175,0.0,0.0,0.073317421765453
[2.02072072 0.42327011 5.04746342],[ 7.50196838 -4.12680864 -1.75145769],[-0.03404134  0.011876    0.99934989],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,2779.02172851563,[-0.01754757 -0.00440762 -0.00770775],[ 0.10657729 -0.3456594  -0.01117136],[0. 0. 0.],[0. 0. 0.],[-0.20092086 -0.09756835 -0.01115218],5.453380305719102,8.739432662030357,1.0000000296548348,0.0,0.0,0.0,0.0,0.0,0.01966606004704115,0.3618894051521317,0.0,0.0,0.22363619637449877
[2.01688647 0.42230701 5.04577923],[ 8.83625889 -8.45427895 -1.89131713],[-0.07794373 -0.00944325  0.99691308],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,2779.240234375,[-0.0005318  -0.00418356  0.00380859],[ 0.03107823 -0.08372689 -0.00792173],[0. 0. 0.],[0. 0. 0.],[-0.17630164 -0.07874818 -0.01877017],5.450326804704015,12.374626625418504,1.0000000398334048,0.0,0.0,0.0,0.0,0.0,0.005682463365978921,0.08965937207922056,0.0,0.0,0.19399964894167743
[2.01676702 0.42136735 5.04663467],[ 9.23620987 -9.53177452 -1.99326324],[-0.11754273 -0.02713083  0.99269712],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,2779.46484375,[ 0.00136164 -0.0064797   0.01026518],[ 0.05521077  0.00485358 -0.02230347],[0. 0. 0.],[0. 0. 0.],[-0.09660971 -0.08377014 -0.01602829],5.451001853601929,13.421452850958138,0.9999999733346032,0.0,0.0,0.0,0.0,0.0,0.01221533918366871,0.05974304564907559,0.0,0.0,0.12887116568869175
[2.01714134 0.41958606 5.0494566 ],[10.10582066 -9.45532703 -2.34455943],[-0.14410096 -0.05015944  0.98829091],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,2779.73974609375,[-0.0014932   0.00122818  0.00247492],[0.00815495 0.00496453 0.00630494],[0. 0. 0.],[0. 0. 0.],[-0.00344891 -0.0419153  -0.00283791],5.453615642554964,14.036658411934376,0.9999999859997164,0.0,0.0,0.0,0.0,0.0,0.003140590803964508,0.011441248502232368,0.0,0.0,0.04215258984475906
[2.01679611 0.41987002 5.0500288 ],[10.21384811 -9.38956261 -2.26103878],[-0.14489836 -0.05985031  0.98763478],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,2779.97094726563,[-0.00943655  0.00054362 -0.01687027],[-0.01897046 -0.01327326 -0.03357823],[0. 0. 0.],[0. 0. 0.],[-0.00519531 -0.00595476 -0.00112985],5.454039629578492,14.056986718674747,1.00000002354531,0.0,0.0,0.0,0.0,0.0,0.019337784306187038,0.04078670404882112,0.0,0.0,0.007982916942144633
[2.01489544 0.41997951 5.04663086],[ 9.99492359 -9.54273987 -2.64854121],[-0.14594477 -0.06104969  0.98740721],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,2780.17236328125,[-0.01703912  0.00583504 -0.02945468],[-0.0158717   0.16743906 -0.02542794],[0. 0. 0.],[0. 0. 0.],[-0.01102533  0.03892347  0.00058409],5.45019902871224,14.070435400005989,0.9999999674911302,0.0,0.0,0.0,0.0,0.0,0.034524738932949633,0.17010093518059555,0.0,0.0,0.04045906460208428
[2.01093102 0.42133713 5.03977776],[ 9.78334141 -7.31064653 -2.98751545],[-0.14850999 -0.05199352  0.98754311],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],None,GearsCollection (UnityEngine.GameObject),None,0,2780.40502929688,[ 0.00351563  0.00994605 -0.04548876],[0.04388075 0.04399939 0.2048665 ],[0. 0. 0.],[0. 0. 0.],[0.00755615 0.00579393 0.00143209],5.44249284331534,12.57316867010207,0.9999999653758032,0.0,0.0,0.0,0.0,0.0,0.046695937908641065,0.2140835063176172,0.0,0.0,0.00962891220585887
